name,reference product,ISIC_name,ISIC,CPC_name,CPC,prod_category,prod_sub_category,code,activity type,location,production amount,unit,priority
"tap water production, underground water with chemical treatment",tap water,"Water collection, treatment and supply",3600, Natural water,18000,Chemical,Chemical products,6883c6c21e7d3d76b189327d60f6d8b0,ordinary transforming activity,CH,1.0,kilogram,1.0
"electricity production, medium voltage, petroleum refinery operation","electricity, medium voltage",Manufacture of refined petroleum products,1920, Electrical energy,17100,OreMinFuel,"Ores, minerals & fuels",66f3760c13cd0d99b1654b866cc31aaa,ordinary transforming activity,Europe without Switzerland,1.0,kilowatt hour,1.0
"market for waste polyethylene, for recycling, sorted","waste polyethylene, for recycling, sorted",Collection of non-hazardous waste,3811," Waste, parings and scrap of plastics",39270,WasteTreatment,Waste treatment & disposal,e1a2128915a0afa218addc3c741f1937,market activity,CH,1.0,kilogram,1.0
"concrete production, 25MPa, for building construction, for interior use, with cement ZN/D","concrete, 25MPa","Manufacture of articles of concrete, cement and plaster",2395, Non-refractory mortars and concretes,37510,GlasNonMetal,Glass and other non-metallic products,6bc06349d932a048a94601736fbced03,ordinary transforming activity,CH,1.0,cubic meter,1.0
hard coal briquettes factory construction,hard coal briquettes factory,Construction of other civil engineering projects,4290, Other constructions for manufacturing,53269,,,11745302ab9f1b286fce98cc4d9df934,ordinary transforming activity,RER,1.0,unit,1.0
"transport, pipeline, onshore, petroleum","transport, pipeline, onshore, petroleum",Transport via pipeline,4930, Transport services via pipeline of petroleum and natural gas,65131,OreMinFuel,"Ores, minerals & fuels",7f73767288699c6c41571ef836d4e0d7,ordinary transforming activity,RER,1.0,ton kilometer,1.0
"market for used air filter central unit, 600 m3/h","used air filter central unit, 600 m3/h",Materials recovery,3830, Other wastes n.e.c.,39990,WasteTreatment,Waste treatment & disposal,79ab7cda29dc15a1df61a6b6d573024b,market activity,CH,-1.0,unit,1.0
market for waste polypropylene,waste polypropylene,Treatment and disposal of non-hazardous waste,3821," Waste, parings and scrap of plastics",39270,WasteTreatment,Waste treatment & disposal,09ef0de4a014255fc566085a57d44a50,market activity,DE,-1.0,kilogram,1.0
"nylon 6 production, glass-filled","nylon 6, glass-filled",Manufacture of plastics and synthetic rubber in primary forms,2013, Plastics in primary forms,34700,PlastRub,Plastics & rubber products,39ed803ded10600d1dea9fc98ab7702f,ordinary transforming activity,RER,1.0,kilogram,1.0
"electricity, high voltage, import from NO","electricity, high voltage","Electric power generation, transmission and distribution",3510, Electrical energy,17100,OreMinFuel,"Ores, minerals & fuels",4d21603856031ff7d27d2194210b2c17,ordinary transforming activity,NL,1.0,kilowatt hour,1.0
"electricity, high voltage, import from GR","electricity, high voltage","Electric power generation, transmission and distribution",3510, Electrical energy,17100,OreMinFuel,"Ores, minerals & fuels",4aeefcacc49a08968678958159dd2770,ordinary transforming activity,IT,1.0,kilowatt hour,1.0
"market for ethanol, without water, in 99.7% solution state, from fermentation, vehicle grade","ethanol, without water, in 99.7% solution state, from fermentation, vehicle grade",Manufacture of basic chemicals,2011, Biodiesel,35491,Chemical,Chemical products,024abc85c65c15383c4e133b40c6b8d0,market activity,CH,1.0,kilogram,1.0
market for spent solvent mixture,spent solvent mixture,Treatment and disposal of hazardous waste,3822, Wastes from chemical or allied industries,39950,WasteTreatment,Waste treatment & disposal,b668f191751e3286064cb9b7acbb546d,market activity,CH,-1.0,kilogram,1.0
decabromodiphenyl ether production,decabromodiphenyl ether,Manufacture of basic chemicals,2011," Ethers, alcohol peroxides, ether peroxides, epoxides, acetals and hemiacetals, and their halogenated, sulphona[…]",34170,Chemical,Chemical products,fe2dc46792537c7f725d5333a390da7a,ordinary transforming activity,RER,1.0,kilogram,1.0
"operation, computer, desktop, with liquid crystal display, active mode","operation, computer, desktop, with liquid crystal display, active mode","Photocopying, document preparation and other specialized office support act",8219, Support services,85000,,,7f3caac2d226c870af4bc5af2d8490bc,ordinary transforming activity,CH,1.0,hour,1.0
"laminating service, foil, with acrylic binder","laminating service, foil, with acrylic binder",Service activities related to printing,1812, Services related to printing,89122,MetalAlloy,"Basic metals & alloys, their semi-finished products",1accbe791e1d7155dcc8bc42c3beb766,ordinary transforming activity,RER,1.0,square meter,1.0
"electricity, high voltage, import from FR","electricity, high voltage","Electric power generation, transmission and distribution",3510, Electrical energy,17100,OreMinFuel,"Ores, minerals & fuels",97e1a0aa1059e968a857f22633da5edd,ordinary transforming activity,ES,1.0,kilowatt hour,1.0
"lime production, hydrated, loose weight","lime, hydrated, loose weight","Manufacture of cement, lime and plaster",2394," Quicklime, slaked lime and hydraulic lime",37420,GlasNonMetal,Glass and other non-metallic products,63612d180b58dbc1d6db75fb32a1c208,ordinary transforming activity,CH,1.0,kilogram,1.0
"electricity production, hydro, run-of-river","electricity, high voltage","Electric power generation, transmission and distribution",3510, Electrical energy,17100,OreMinFuel,"Ores, minerals & fuels",998b291cd53cc340adac025608a7a60a,ordinary transforming activity,HR,1.0,kilowatt hour,1.0
"heat and power co-generation, natural gas, combined cycle power plant, 400MW electrical","heat, district or industrial, natural gas","Electric power generation, transmission and distribution",3510, Steam and hot water,17300,OreMinFuel,"Ores, minerals & fuels",0bb076568c57854a8d212673ec4d3cef,ordinary transforming activity,PT,1.0,megajoule,1.0
"market for bottom ash, MSWI[F]-WWT, WW from LCD production","bottom ash, MSWI[F]-WWT, WW from LCD production",Treatment and disposal of non-hazardous waste,3821," Ash and residue (except from the manufacture of iron or steel), containing metals or metallic compounds, except[…]",39320,WasteTreatment,Waste treatment & disposal,eb12d8cc5a8d3405af589ea5fd32e8a8,market activity,CH,-1.0,kilogram,1.0
"market for water, decarbonised","water, decarbonised","Water collection, treatment and supply",3600, Natural water,18000,Chemical,Chemical products,8e3e0bd9a6012743edbb628383774292,market activity,FR,1.0,kilogram,1.0
"market for electricity, low voltage","electricity, low voltage","Electric power generation, transmission and distribution",3510, Electrical energy,17100,OreMinFuel,"Ores, minerals & fuels",972d53e8fdd735a037b592551ff215de,market activity,BE,1.0,kilowatt hour,1.0
"electricity production, deep geothermal","electricity, high voltage","Electric power generation, transmission and distribution",3510, Electrical energy,17100,OreMinFuel,"Ores, minerals & fuels",e58efd2270b892bfe6fa5d1a7bb5cba5,ordinary transforming activity,AT,1.0,kilowatt hour,1.0
market for NPK (15-15-15) fertiliser,NPK (15-15-15) fertiliser,Manufacture of fertilizers and nitrogen compounds,2012, Fertilizers containing three nutrients,34641,Chemical,Chemical products,0b9046e72725710b0376ff05fe422982,market activity,RER,1.0,kilogram,1.0
"sheet rolling, copper","sheet rolling, copper",Manufacture of basic precious and other non-ferrous metals,2420, Semi-finished products of copper or copper alloys,41510,MetalAlloy,"Basic metals & alloys, their semi-finished products",a78e85b2a88f56049342acb1fcab423d,ordinary transforming activity,RER,1.0,kilogram,1.0
nutrient supply from NPK (26-15-15) fertiliser,"inorganic nitrogen fertiliser, as N",Support activities for crop production,0161," Mineral or chemical fertilizers, nitrogenous",34610,Chemical,Chemical products,97601e6c09e05d968d1fddabd97fab48,ordinary transforming activity,RER,1.0,kilogram,1.0
market for lignite,lignite,Mining of lignite,0520, Brown coal,11030,OreMinFuel,"Ores, minerals & fuels",69e9cb7ab19b56bcda21c35789c71fe0,market activity,RER,1.0,kilogram,1.0
"treatment of waste gypsum plasterboard, sorting plant",waste gypsum plasterboard,Materials recovery,3830, Other wastes n.e.c.,39990,WasteTreatment,Waste treatment & disposal,35c5ba28134530d7c8d0027c72645977,ordinary transforming activity,CH,-1.0,kilogram,1.0
"treatment of used door, outer, wood-glass, collection for final disposal","used door, outer, wood-glass",Treatment and disposal of non-hazardous waste,3821, Other wastes n.e.c.,39990,WasteTreatment,Waste treatment & disposal,6955abb0580644f21dcc140e2ef6de67,ordinary transforming activity,CH,-1.0,square meter,1.0
sulfur dichloride production,sulfur dichloride,Manufacture of basic chemicals,2011, Basic inorganic chemicals n.e.c.,34200,Chemical,Chemical products,f76432a16c9e3c5ef1251947f8596e5f,ordinary transforming activity,RER,1.0,kilogram,1.0
metal coating facility construction,metal coating facility,Construction of buildings,4100, Other constructions for manufacturing,53269,,,5f11f375ff531e3d1a2383efaaeac0f9,ordinary transforming activity,RER,1.0,unit,1.0
iron sulfate production,iron sulfate,Manufacture of basic chemicals,2011, Phosphates of triammonium; salts and peroxysalts of inorganic acids and metals n.e.c.,34240,Chemical,Chemical products,028b19f2af8ef04509bc53581358392b,ordinary transforming activity,RER,1.0,kilogram,1.0
"cast iron turning, average, conventional","cast iron removed by turning, average, conventional",Treatment and coating of metals; machining,2592," Slag, dross, scalings and other waste from the manufacture of iron or steel",39310,WasteTreatment,Waste treatment & disposal,721484b32c0d4d1d97c6fa508521efe2,ordinary transforming activity,RER,1.0,kilogram,1.0
"market for sawnwood, hardwood, dried (u=20%), planed","sawnwood, hardwood, dried (u=20%), planed",Sawmilling and planing of wood,1610," Wood, sawn or chipped lengthwise, sliced or peeled, of a thickness exceeding 6 mm, of non-coniferous wood ",31102,ProcBio,"Wood, straw & cork",0caa954261ad92ba9aa2f0b72554303d,market activity,RER,1.0,cubic meter,1.0
"impact extrusion of steel, warm, 1 strokes","impact extrusion of steel, warm, 1 strokes","Forging, pressing, stamping and roll-forming of metal; powder metallurgy",2591," Metal forging, pressing, stamping, roll forming and powder metallurgy services",89330,MetalAlloy,"Basic metals & alloys, their semi-finished products",933a79dc902790a49d5567f7b99d0de3,ordinary transforming activity,RER,1.0,kilogram,1.0
"electricity production, photovoltaic, 570kWp open ground installation, multi-Si","electricity, low voltage","Electric power generation, transmission and distribution",3510, Electrical energy,17100,OreMinFuel,"Ores, minerals & fuels",e9571d1d12bc4df74bc500922f379cfe,ordinary transforming activity,FR,1.0,kilowatt hour,1.0
"treatment of bottom ash, MSWI-WWT, WW from pig iron production, slag compartment","bottom ash, MSWI-WWT, WW from pig iron production",Treatment and disposal of non-hazardous waste,3821," Ash and residue (except from the manufacture of iron or steel), containing metals or metallic compounds, except[…]",39320,WasteTreatment,Waste treatment & disposal,5adbe6952711e9082ca4e86255705b1b,ordinary transforming activity,Europe without Switzerland,-1.0,kilogram,1.0
"fuel cell production, stack polymer electrolyte membrane, 2kW electrical, future","fuel cell, stack polymer electrolyte membrane, 2kW electrical, future",Manufacture of other electrical equipment,2790, Primary cells and primary batteries,46410,MachElecTrans,Metal/electronic equipments and parts,241cc66159dbe7e0b462c5b8f5edaf91,ordinary transforming activity,CH,1.0,unit,1.0
"market for sewage sludge, 97% water, WWT, rainwater mineral oil storage","sewage sludge, 97% water, WWT, rainwater mineral oil storage",Treatment and disposal of non-hazardous waste,3821, Sewage sludge,39920,WasteTreatment,Waste treatment & disposal,40358a9345dc63a028cc5e02e58f3d6d,market activity,CH,-1.0,kilogram,1.0
"treatment of blast furnace gas, in power plant",blast furnace gas,"Electric power generation, transmission and distribution",3510," Coal gas, water gas, producer gas and similar gases, other than petroleum gases and other gaseous hydrocarbons",17200,OreMinFuel,"Ores, minerals & fuels",e566d5f658441a06f02348926b56cfca,ordinary transforming activity,NL,-1.0,megajoule,1.0
clinker production,clinker,"Manufacture of cement, lime and plaster",2394, Cement clinkers,37430,GlasNonMetal,Glass and other non-metallic products,ee2446cefd47ae41ec341a7aa1f6570f,ordinary transforming activity,Europe without Switzerland,1.0,kilogram,1.0
"heat production, wood chips from industry, at furnace 5000kW","wood chips, dry, measured as dry mass",Steam and air conditioning supply,3530, Wood in chips or particles,31230,ProcBio,"Wood, straw & cork",b0260ab64dc2cd5b028d1e77945fda46,ordinary transforming activity,CH,1.0,kilogram,1.0
"electricity, high voltage, hydro, reservoir, import from France","electricity, high voltage","Electric power generation, transmission and distribution",3510, Electrical energy,17100,OreMinFuel,"Ores, minerals & fuels",7c8bd20a68455d05bed1a70605e42777,ordinary transforming activity,CH,1.0,kilowatt hour,1.0
"furnace production, pellet, 15kW","furnace, pellet, 15kW","Manufacture of ovens, furnaces and furnace burners",2815," Industrial or laboratory furnaces and ovens, except non-electric bakery ovens; other industrial or laboratory […]",43420,MachElecTrans,Metal/electronic equipments and parts,f645e03e160a39d4b564ecb7d612abfa,ordinary transforming activity,CH,1.0,unit,1.0
